run,container,ms
147,vector,8.31925
147,list,35.55900
148,vector,8.07963
148,list,40.02771
149,vector,8.21663
149,list,43.68217
150,vector,8.32071
150,list,40.86662
151,vector,8.16783
151,list,36.35213
152,vector,8.04542
152,list,35.15667
153,vector,7.86633
153,list,34.67467
154,vector,8.62425
154,list,40.06358
155,vector,8.00196
155,list,33.62346
156,vector,7.90700
156,list,38.01658
157,vector,7.84925
157,list,34.67150
158,vector,8.07737
158,list,40.62929
159,vector,8.08542
159,list,33.82700
160,vector,7.95967
160,list,37.04446
161,vector,7.87121
161,list,34.79233
162,vector,7.85746
162,list,35.55692
163,vector,8.12787
163,list,42.86371
164,vector,8.49767
164,list,36.55767
165,vector,7.97575
165,list,37.65842
166,vector,8.04742
166,list,39.39779
167,vector,7.98554
167,list,39.09262
168,vector,8.01754
168,list,40.34746
169,vector,8.04246
169,list,34.94858
170,vector,8.31546
170,list,40.23746
171,vector,8.16167
171,list,35.01512
172,vector,7.94233
172,list,38.06279
173,vector,7.97713
173,list,48.56542
174,vector,8.28842
174,list,37.73171
175,vector,8.05583
175,list,37.27350
176,vector,7.98588
176,list,40.32825
177,vector,7.90512
177,list,35.64363
178,vector,8.08646
178,list,39.27217
179,vector,8.16892
179,list,40.74308
180,vector,7.96575
180,list,36.11733
181,vector,8.00550
181,list,34.95971
182,vector,8.11463
182,list,38.82067
183,vector,8.03817
183,list,34.01075
184,vector,8.13242
184,list,42.42654
185,vector,8.06158
185,list,46.29804
186,vector,13.25729
186,list,34.02338
187,vector,9.09133
187,list,44.15283
188,vector,8.09846
188,list,39.68729
189,vector,8.01771
189,list,36.32850
190,vector,7.92367
190,list,39.58154
191,vector,7.99200
191,list,34.45746
192,vector,7.93712
192,list,36.87687
193,vector,8.03250
193,list,38.12588
194,vector,7.94296
194,list,39.00321
195,vector,8.07038
195,list,34.91746
196,vector,7.98538
196,list,37.11092
197,vector,8.02704
197,list,35.64150
198,vector,8.04387
198,list,34.53179
199,vector,7.96037
199,list,34.37808
